product_id,product_name,category,cost_price,current_stock,reorder_point,created_at
P001,Elite Band,sports,272.22,438,97,2022-04-13
P002,Pure Mask,beauty,105.52,202,97,2022-12-15
P003,Eco Lamp,home_garden,471.71,183,97,2022-09-28
P004,Glow Cream,beauty,301.44,122,97,2022-04-17
P005,Luxe Serum,beauty,348.92,400,97,2022-03-13
P006,Sport Dress,clothing,440.83,254,97,2022-07-08
P007,Modern Table,home_garden,314.06,293,97,2022-01-21
P008,Premium Vase,home_garden,151.34,279,97,2022-04-13
P009,Classic Table,home_garden,57.22,324,97,2022-05-02
P010,Glow Mask,beauty,230.98,371,97,2022-08-03
P011,Fit Dumbbell,sports,113.13,97,97,2022-11-27
P012,Modern Rug,home_garden,211.17,197,97,2022-03-29
P013,Glow Mask,beauty,442.22,469,97,2022-04-10
P014,Cotton Socks,clothing,165.55,394,97,2022-12-26
P015,Elite Tracker,sports,65.43,239,97,2022-06-01
P016,Casual Socks,clothing,181.37,143,97,2022-05-11
P017,Elite Dumbbell,sports,453.88,96,97,2022-05-30
P018,Natural Mask,beauty,139.71,200,97,2022-11-05
P019,Max Monitor,electronics,325.61,123,97,2022-09-15
P020,Active Mat,sports,5.26,186,97,2022-12-10
P021,Cotton Socks,clothing,179.52,325,97,2022-10-21
P022,Natural Cream,beauty,155.87,463,97,2022-07-11
P023,Pro Mat,sports,86.5,348,97,2022-10-04
P024,Max TV,electronics,269.37,258,97,2022-06-10
P025,Max Speaker,electronics,244.99,147,97,2022-11-10
P026,Classic Chair,home_garden,347.76,251,97,2022-01-22
P027,Premium Lamp,home_garden,138.36,442,97,2022-09-10
P028,Formal Shirt,clothing,125.84,419,97,2022-08-24
P029,Pro Tracker,sports,88.3,402,97,2022-12-11
P030,Fit Dumbbell,sports,113.29,345,97,2022-02-18
P031,Eco Rug,home_garden,281.26,450,97,2022-02-28
P032,Pro Mat,sports,204.9,146,97,2022-06-19
P033,Elite Band,sports,37.12,147,97,2022-07-07
P034,Pro TV,electronics,130.69,351,97,2022-09-28
P035,Premium Vase,home_garden,127.2,198,97,2022-07-09
P036,Pure Mask,beauty,349.67,307,97,2022-06-24
P037,Premium Lamp,home_garden,357.57,488,97,2022-02-20
P038,Pure Cream,beauty,78.3,416,97,2022-12-30
P039,Ultra Phone,electronics,498.88,423,97,2022-02-24
P040,Formal Jacket,clothing,137.06,127,97,2022-09-01
P041,Active Tracker,sports,488.42,38,97,2022-11-16
P042,Pro Speaker,electronics,208.46,337,97,2022-05-11
P043,Active Dumbbell,sports,21.36,359,97,2022-11-03
P044,Casual Dress,clothing,175.81,128,97,2022-05-15
P045,Cotton Jacket,clothing,319.0,266,97,2022-01-21
P046,Ultra TV,electronics,341.95,475,97,2022-11-25
P047,Sport Socks,clothing,267.81,440,97,2022-06-16
P048,Luxe Mask,beauty,226.65,472,97,2022-10-01
P049,Casual Socks,clothing,278.68,433,97,2022-03-30
P050,Pro Tracker,sports,298.38,150,97,2022-11-12
